Rank,title,artist,Total
1,higher (burna boy),burna boy,0.35
2,lonely at the top,asake,0.35
3,ijo (laba laba),crayon,0.3052110017875238
4,peace be unto you (pbuy),asake,0.3037228204385852
5,certified loner (no competition),mayorkun,0.29598160071786556
6,ogechi,boypee & hyce  &,0.2633498899317338
7,i'm a mess,johan lenox,0.25418633070163515
8,overloading (overdose),"mavins, crayon and ayra starr",0.24460441285006304
9,benin boys,rema & shallipopi,0.22312927656936685
10,anabella,khaid,0.2169835998709878
